station_name,latitude,longitude,bikes,ebike,station_location
Georgia & Thurlow,49.285953,-123.124066,12,2,"49.285953, -123.124066"
Thurlow & Pendrell,49.280881,-123.130672,16,0,"49.280881, -123.130672"
Heather & 16th,49.256845,-123.120071,12,3,"49.256845, -123.120071"
14th & Ontario,49.25849,-123.104799,16,2,"49.258490, -123.104799"
14th & Main,49.258425,-123.100792,14,5,"49.258425, -123.100792"
David Lam Park - West,49.270905,-123.126006,18,1,"49.270905, -123.126006"
Beach & Seymour,49.273568,-123.129935,18,0,"49.273568, -123.129935"
Richards & Helmcken,49.277141,-123.122589,18,0,"49.277141, -123.122589"
Burrard & 4th,49.267859,-123.145782,16,0,"49.267859, -123.145782"
Burrard & 7th,49.265336,-123.145823,16,0,"49.265336, -123.145823"
South False Creek Seawall,49.267628,-123.127698,14,0,"49.267628, -123.127698"
Chestnut & McNicoll,49.275938,-123.145939,16,0,"49.275938, -123.145939"
Creekside Park North,49.2756,-123.102661,18,0,"49.275600, -123.102661"
