,Venue Name,Average Rating,Review Count,SkyTrain Station,Latitude,Longitude,ID,Source,Distance
76,Hon's Wonton House - Broadway Station,3.9,154,Commercial-Broadway Station,49.2624958,-123.0707055,ChIJu9A8CcJxhlQRVEvt0cy4TUM,Google,107.5325444834108
77,Pizzeria Ludica,4.4,952,Stadium-Chinatown,49.2800991,-123.1084968,ChIJewa9uHtxhlQRnYSaSWWfdKM,Google,108.30674207614616
78,蜀莊 Grand Chinese Yaletown Restaurant (Order from our Website & Save More !),4.2,298,Yaletown-Roundhouse Station,49.2746929,-123.123435,ChIJM3OO5mdzhlQRwLhy5GSk-DU,Google,109.8440436378947
79,My Toan,3.7,25,Waterfront Station,49.2846966,-123.1119349,ChIJHfhJIFN3hlQRSggFFifaYx8,Google,110.001411849713
80,Harbour Spoon,4.4,110,Waterfront Station,49.2846966,-123.1119349,ChIJBxmyyfdxhlQRjNpqKe1wZlw,Google,110.001411849713
81,Thai Express Restaurant Vancouver,2.5,28,Waterfront Station,49.284696,-123.1119341,ChIJTzd5Z3hxhlQRaDtQ7ez6khc,Google,110.06144336447502
82,Globe@YVR,4.0,220,Yvr–Airport,49.19505119999999,-123.1774388,ChIJBTX_rTULhlQRPE4_RMc32ic,Google,111.5764005414278
83,Hungry Guys Kitchen,4.8,14,Granville,49.2842797,-123.1158508,ChIJv-DKCeBxhlQRW0kc0CVn9XM,Google,111.73614392513444
84,Bistro Sakana Vancouver,4.3,521,Yaletown-Roundhouse Station,49.2753916,-123.1211292,ChIJq9wc-NZzhlQRVP_vVQAyk8o,Google,111.7647973324177
85,Peaceful Restaurant,4.0,787,Broadway-City Hall Station,49.26307540000001,-123.1160799,ChIJTV7Wbd1zhlQRNNf29oteTuM,Google,112.0339065763352
86,Minami,4.5,3037,Yaletown-Roundhouse Station,49.2751989,-123.1207236,ChIJ9xLK-dZzhlQRIghtObN7n-A,Google,114.9118323696993
87,Thai Express Restaurant Vancouver,3.4,154,Vancouver City Centre,49.283333,-123.117736,ChIJp--ubH9xhlQRdMQC-MmTYAw,Google,115.19359745293164
88,Hawksworth Restaurant,4.4,1506,Vancouver City Centre,49.2834532,-123.1192387,ChIJSQDA8oZ0hlQR_IFn3VHeS4w,Google,118.46371158273143
89,Brix and Mortar,4.3,1246,Yaletown-Roundhouse Station,49.2756123,-123.1219105,ChIJl9xLjNZzhlQR7-ndY8Asql8,Google,119.5982093060802
90,Urban Crave,2.1,43,Yvr–Airport,49.195288,-123.1785255,ChIJocxXs8kLhlQR4QN3ZJkpkPE,Google,121.42267261140438
91,Kuroi Sushi,4.1,30,Burrard,49.2863681,-123.1190724,ChIJVVWVLYJxhlQRsCIsgOUXwEE,Google,122.28658141108282
92,Pajo's Yvr Airport,3.8,41,Yvr–Airport,49.1952864,-123.1778697,ChIJ7Z3qGUoLhlQRPKn0sff0VtY,Google,123.37018003166432
93,Daddy's Kitchen,4.3,305,Commercial-Broadway Station,49.2615324,-123.0696135,ChIJY7OswU5xhlQRhciL6HRmAMI,Google,124.31685697607398
94,Thai Hang,2.4,78,Yvr–Airport,49.1953273,-123.1783231,ChIJ5WXnYjMLhlQRYm7hx--pUuc,Google,124.44805002455716
95,Commercial Sushi,4.2,366,Commercial-Broadway Station,49.261623,-123.0700176,ChIJEXuDOG1xhlQRW5nLfmvymJM,Google,124.80826281281644
96,Top Of Vancouver Revolving Restaurant,4.2,2733,Waterfront Station,49.2845838,-123.1121818,ChIJfe2sYHhxhlQRYY79aUl69vw,Google,125.49824381859926
